loss,states_visited,l1_dist,logZ_diff,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/experiment_name,config/n_iterations,config/name,config/no_cuda,config/replay_buffer_size,config/resample_for_validation,config/seed,config/validation_interval,config/validation_samples,config/env/R0,config/env/R1,config/env/R2,config/env/cov_scale,config/env/device,config/env/height,config/env/name,config/env/ndim,config/env/num_means,config/env/preprocessor_name,config/env/quantize_bins,config/env/reward_name,config/loss/activation_fn,config/loss/forward_looking,config/loss/hidden_dim,config/loss/module_name,config/loss/n_hidden_layers,config/loss/name,config/optim/betas,config/optim/lr,config/optim/lr_Z,config/optim/name,config/sampler/epsilon,config/sampler/sf_bias,config/sampler/temperature,logdir
6.62585783,16016,0.00100127,1.74087977,215.60645556,False,1,778c6_00000,2023-07-20_14-21-40,1689855700,215.60645556,3629941,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,215.60645556,1,16,reward_losses,1001,gmm-random_trajectory-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,2,4,KHot,-1,gmm-random,relu,False,256,NeuralNet,2,trajectory-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/gmm-random_trajectory-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'gmm-random', 'num_means': 4, 'co_2023-07-20_14-17-59"
3.24427891,16016,0.00064869,1.39216542,229.65768290,False,1,778c6_00001,2023-07-20_14-25-30,1689855930,229.65768290,3629941,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,229.65768290,1,16,reward_losses,1001,gmm-random_trajectory-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,2,4,KHot,-1,gmm-random,relu,False,256,NeuralNet,2,trajectory-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/gmm-random_trajectory-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'gmm-random', 'num_means': 4, 'co_2023-07-20_14-17-59_a271"
8.99421883,16016,0.00103211,1.65235209,230.32087660,False,1,778c6_00002,2023-07-20_14-29-20,1689856160,230.32087660,3629941,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,230.32087660,1,16,reward_losses,1001,gmm-random_trajectory-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,2,4,KHot,-1,gmm-random,relu,False,256,NeuralNet,2,trajectory-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/gmm-random_trajectory-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'gmm-random', 'num_means': 4, 'co_2023-07-20_14-17-59_a4af"
3.40270281,16016,0.00074017,1.37840176,308.44874835,False,1,778c6_00003,2023-07-20_14-34-29,1689856469,308.44874835,3629941,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,308.44874835,1,16,reward_losses,1001,gmm-random_trajectory-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,2,4,KHot,-1,gmm-random,relu,False,256,NeuralNet,2,trajectory-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/gmm-random_trajectory-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'gmm-random', 'num_means': 4, 'co_2023-07-20_14-17-59_f94c"
