loss,states_visited,l1_dist,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/experiment_name,config/n_iterations,config/name,config/no_cuda,config/replay_buffer_size,config/resample_for_validation,config/seed,config/validation_interval,config/validation_samples,config/env/R0,config/env/R1,config/env/R2,config/env/cov_scale,config/env/device,config/env/height,config/env/name,config/env/ndim,config/env/num_means,config/env/preprocessor_name,config/env/quantize_bins,config/env/reward_name,config/loss/activation_fn,config/loss/forward_looking,config/loss/hidden_dim,config/loss/module_name,config/loss/n_hidden_layers,config/loss/name,config/optim/betas,config/optim/lr,config/optim/lr_Z,config/optim/name,config/sampler/epsilon,config/sampler/sf_bias,config/sampler/temperature,logdir
0.00788860,16016,0.00000188,467.33900189,False,1,ba871_00000,2023-07-20_14-49-19,1689857359,467.33900189,3845445,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,467.33900189,1,16,searchspaces_losses,1001,default_4d_32h_detailed-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,4,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_4d_32h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 4, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_s_2023-07-20_14-41-20"
0.00265710,16016,0.00000188,506.74201918,False,1,ba871_00001,2023-07-20_14-57-46,1689857866,506.74201918,3845445,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,506.74201918,1,16,searchspaces_losses,1001,default_4d_32h_detailed-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,4,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_4d_32h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 4, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_s_2023-07-20_14-41-20_877a"
0.00436897,16016,0.00000188,468.32146311,False,1,ba871_00002,2023-07-20_15-05-34,1689858334,468.32146311,3845445,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,468.32146311,1,16,searchspaces_losses,1001,default_4d_32h_detailed-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,4,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_4d_32h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 4, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_s_2023-07-20_14-41-21"
0.00243473,16016,0.00000188,504.61545253,False,1,ba871_00003,2023-07-20_15-13-59,1689858839,504.61545253,3845445,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,504.61545253,1,16,searchspaces_losses,1001,default_4d_32h_detailed-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,32,hypergrid,4,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_4d_32h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 4, 'height': 32, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_s_2023-07-20_14-41-21_79c5"
