loss,states_visited,l1_dist,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/experiment_name,config/n_iterations,config/name,config/no_cuda,config/replay_buffer_size,config/resample_for_validation,config/seed,config/validation_interval,config/validation_samples,config/env/R0,config/env/R1,config/env/R2,config/env/cov_scale,config/env/device,config/env/height,config/env/name,config/env/ndim,config/env/num_means,config/env/preprocessor_name,config/env/quantize_bins,config/env/reward_name,config/loss/activation_fn,config/loss/forward_looking,config/loss/hidden_dim,config/loss/module_name,config/loss/n_hidden_layers,config/loss/name,config/optim/betas,config/optim/lr,config/optim/lr_Z,config/optim/name,config/sampler/epsilon,config/sampler/sf_bias,config/sampler/temperature,logdir
0.00483962,16016,0.00092969,118.87381744,False,1,5e409_00000,2023-07-20_14-33-57,1689856437,118.87381744,3738447,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,118.87381744,1,16,searchspaces_losses,1001,default_2d_8h_detailed-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_2d_8h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 8, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_sc_2023-07-20_14-31-49"
0.00339049,16016,0.00111629,145.55735660,False,1,5e409_00001,2023-07-20_14-36-23,1689856583,145.55735660,3738447,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,145.55735660,1,16,searchspaces_losses,1001,default_2d_8h_detailed-balance,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_2d_8h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 8, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_sc_2023-07-20_14-31-49_21a9"
0.00126349,16016,0.00106987,138.27947688,False,1,5e409_00002,2023-07-20_14-38-41,1689856721,138.27947688,3738447,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,138.27947688,1,16,searchspaces_losses,1001,default_2d_8h_detailed-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_2d_8h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 8, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_sc_2023-07-20_14-31-49_b6f7"
0.00059946,16016,0.00081719,159.09442902,False,1,5e409_00003,2023-07-20_14-41-20,1689856880,159.09442902,3738447,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,159.09442902,1,16,searchspaces_losses,1001,default_2d_8h_detailed-balance,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,detailed-balance,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/searchspaces_losses/default_2d_8h_detailed-balance/details/train_{'device': 'cpu', 'ndim': 2, 'height': 8, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'default', 'num_means': 4, 'cov_sc_2023-07-20_14-31-49_dea7"
