loss,states_visited,l1_dist,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/experiment_name,config/n_iterations,config/name,config/no_cuda,config/replay_buffer_size,config/resample_for_validation,config/seed,config/validation_interval,config/validation_samples,config/env/R0,config/env/R1,config/env/R2,config/env/cov_scale,config/env/device,config/env/height,config/env/name,config/env/ndim,config/env/num_means,config/env/preprocessor_name,config/env/quantize_bins,config/env/reward_name,config/loss/activation_fn,config/loss/forward_looking,config/loss/hidden_dim,config/loss/module_name,config/loss/n_hidden_layers,config/loss/name,config/optim/betas,config/optim/lr,config/optim/lr_Z,config/optim/name,config/sampler/epsilon,config/sampler/sf_bias,config/sampler/temperature,logdir
0.03994097,16016,0.00015188,156.18456793,False,1,73fa5_00000,2023-07-20_09-27-13,1689838033,156.18456793,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,156.18456793,1,16,reward_losses,1001,cos_flowmatching,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.10000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33"
0.01298472,16016,0.00012008,232.66738772,False,1,73fa5_00001,2023-07-20_09-31-06,1689838266,232.66738772,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,232.66738772,1,16,reward_losses,1001,cos_flowmatching,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_d19e"
0.00491099,16016,0.00012041,221.78005409,False,1,73fa5_00002,2023-07-20_09-34-48,1689838488,221.78005409,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,221.78005409,1,16,reward_losses,1001,cos_flowmatching,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_c112"
0.01850321,16016,0.00016638,130.43749952,False,1,73fa5_00003,2023-07-20_09-36-58,1689838618,130.43749952,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,130.43749952,1,16,reward_losses,1001,cos_flowmatching,False,0,False,0,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.00010000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_a3ef"
0.00506778,16016,0.00013750,148.96144176,False,1,73fa5_00004,2023-07-20_09-39-27,1689838767,148.96144176,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,148.96144176,1,16,reward_losses,1001,cos_flowmatching,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.10000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_14a0"
0.00497215,16016,0.00010642,229.03165102,False,1,73fa5_00005,2023-07-20_09-43-16,1689838996,229.03165102,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,229.03165102,1,16,reward_losses,1001,cos_flowmatching,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_cd60"
0.01172112,16016,0.00012363,222.17493701,False,1,73fa5_00006,2023-07-20_09-46-58,1689839218,222.17493701,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,222.17493701,1,16,reward_losses,1001,cos_flowmatching,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_3848"
0.03988513,16016,0.00016693,129.50268340,False,1,73fa5_00007,2023-07-20_09-49-08,1689839348,129.50268340,2123295,anja-ThinkPad-X1-Extreme-Gen-3,192.168.1.2,129.50268340,1,16,reward_losses,1001,cos_flowmatching,False,0,False,1,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,100,hypergrid,2,4,KHot,-1,cos,relu,False,256,NeuralNet,2,flowmatching,"[0.9, 0.999]",0.00010000,0.10000000,adam,0.00000000,0.00000000,1.00000000,"/home/anja/Documents/GFlowNets/torchgfn/logs/reward_losses/cos_flowmatching/details/train_{'device': 'cpu', 'ndim': 2, 'height': 100, 'R0': 0.1, 'R1': 0.5, 'R2': 2.0, 'reward_name': 'cos', 'num_means': 4, 'cov_scal_2023-07-20_09-24-33_5ed2"
