config/batch_size,config/experiment_name,config/n_iterations,config/name,config/no_cuda,config/replay_buffer_size,config/resample_for_validation,config/validation_interval,config/validation_samples,config/env/R0,config/env/R1,config/env/R2,config/env/cov_scale,config/env/device,config/env/height,config/env/name,config/env/ndim,config/env/num_means,config/env/preprocessor_name,config/env/quantize_bins,config/env/reward_name,config/loss/activation_fn,config/loss/forward_looking,config/loss/hidden_dim,config/loss/module_name,config/loss/n_hidden_layers,config/loss/name,config/optim/betas,config/optim/lr,config/optim/lr_Z,config/optim/name,config/sampler/epsilon,config/sampler/sf_bias,config/sampler/temperature,l1_dist
16,searchspaces_losses,1001,default_2d_8h_trajectory-balance,False,0,False,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,trajectory-balance,"(0.9, 0.999)",0.00100000,0.10000000,adam,0.00000000,0.00000000,1.00000000,0.00087578
16,searchspaces_losses,1001,default_2d_8h_trajectory-balance,False,0,False,100,10000,0.10000000,0.50000000,2.00000000,7.00000000,cpu,8,hypergrid,2,4,KHot,-1,default,relu,False,256,NeuralNet,2,trajectory-balance,"(0.9, 0.999)",0.01000000,0.10000000,adam,0.00000000,0.00000000,1.00000000,0.00115078
